stu,cluster
2339,34
2657,35
2312,0
2665,35
675,51
2789,66
683,51
2116,39
2209,54
1118,35
17,64
3194,35
2588,35
688,21
2117,64
2980,66
1545,57
210,15
1647,35
928,24
32,77
1227,35
1598,54
1655,35
1916,0
1806,35
2080,35
1017,35
271,24
2348,58
2511,35
1594,66
2518,51
1922,0
3002,75
2267,59
1101,35
126,35
1212,42
1483,37
2420,30
1752,15
1827,18
3032,35
2978,35
3185,35
2005,25
2076,63
3063,51
2461,8
618,42
29,62
1167,57
1759,14
550,21
3140,26
1843,35
2094,0
2555,66
747,12
3116,35
1797,35
1676,14
1219,0
2060,7
1241,51
2502,35
805,58
758,74
1220,33
1901,0
1459,21
1359,35
2608,35
2239,15
1717,35
2280,52
3031,35
2000,25
2414,35
540,18
1735,14
2905,11
47,2
305,42
565,22
1401,0
2331,17
134,24
192,63
2971,33
2457,30
1790,14
2703,35
3238,33
2889,35
2539,35
142,27
2396,21
1213,23
1966,0
2024,7
314,42
596,15
761,72
1342,35
976,35
1399,54
1204,0
694,72
1140,40
755,74
2809,35
2057,6
1254,16
2405,35
1886,0
3316,3
484,35
2431,30
2433,30
1856,66
571,22
1766,14
3008,33
2389,59
2801,11
3098,35
2694,35
2256,59
440,56
2276,54
209,58
337,13
246,65
523,24
814,52
323,78
2106,24
3301,4
551,21
1565,18
1379,35
1387,35
1994,25
3223,35
2564,23
1815,21
328,18
257,10
2606,35
2240,35
1588,36
1951,0
2186,35
2614,35
2675,51
2621,51
221,63
663,72
907,33
2123,24
308,79
1657,35
679,72
2932,68
700,51
846,22
647,35
2723,35
2014,52
2856,11
34,62
15,64
1871,0
933,24
437,35
1747,14
2731,35
1345,72
3081,35
3326,31
851,54
762,42
2521,35
1160,35
667,21
1388,57
1560,79
1542,35
253,65
753,35
2125,39
2643,35
1803,14
900,56
974,35
2330,39
2776,11
2651,35
599,57
1596,18
2915,13
3303,76
2055,6
2595,21
944,33
2817,51
2141,24
1088,35
790,63
2166,0
2760,35
1920,0
2759,21
2228,54
2832,11
3188,35
1266,56
270,57
1449,35
2768,35
96,44
810,18
2110,54
1481,37
1519,16
3135,0
3272,45
522,36
2554,23
485,39
233,22
1978,35
2247,24
1564,66
989,12
2003,25
2680,35
1643,14
2573,51
2459,8
1369,35
2634,35
2284,35
1979,0
2488,51
3041,35
770,51
2642,35
662,13
1234,57
3049,35
2499,30
1352,52
469,63
1173,42
2289,57
2749,24
1087,35
1306,16
206,40
2260,59
1494,35
1095,35
946,22
50,35
213,58
621,77
1121,23
1502,35
2468,8
2839,11
828,22
2900,11
3179,35
1899,0
2150,35
1531,42
1668,24
2557,35
2713,35
436,17
1303,39
3101,26
1754,14
448,20
1548,18
920,24
2366,63
1166,35
1259,56
2928,13
1319,52
3156,26
129,35
1417,52
2700,0
2354,59
2907,51
302,77
3204,59
985,26
803,63
1489,23
1589,39
3236,33
482,36
1132,35
1964,0
2415,51
2610,42
2920,68
687,13
624,35
1820,35
992,12
1252,16
721,21
791,35
2201,39
117,42
2453,8
1405,35
104,17
1884,0
303,78
3070,51
1356,54
1157,35
739,12
1514,16
3241,35
503,40
2269,54
2323,24
1011,54
905,56
1312,35
1522,35
1694,35
2131,58
1055,16
726,51
549,21
2803,35
1992,25
2408,57
1727,14
806,74
2343,13
1949,0
1381,51
3108,26
100,44
836,35
839,22
1503,63
112,39
2508,35
3007,75
1308,63
2249,35
269,69
913,33
2022,66
2371,39
13,64
1869,0
289,2
931,24
1731,35
349,40
1114,35
670,72
1296,66
2584,35
2786,35
704,72
2169,35
2010,25
175,22
1703,14
2447,24
2580,23
162,41
1194,42
1914,54
2951,13
816,54
1651,35
2519,15
0,35
1912,0
3284,4
2423,30
3075,35
1577,79
1758,14
310,78
1934,0
1496,44
85,44
2448,24
2522,51
1142,57
1768,35
2059,5
1097,35
2119,39
1446,52
769,72
1105,35
3197,35
886,33
2960,18
284,56
486,36
3059,51
113,42
1719,52
1977,0
655,72
2041,35
3161,54
574,24
1435,35
353,63
613,35
1292,53
1734,14
3112,35
304,42
1264,63
2769,11
110,39
1840,66
2091,35
996,12
1240,56
1265,16
2377,24
1069,54
2456,30
1897,0
1150,35
2262,59
2033,11
2620,35
1301,35
1619,24
951,35
455,62
3027,35
2902,11
1795,14
1837,66
2071,63
3042,51
150,76
1610,51
3080,51
2056,6
2042,13
2698,0
1418,35
3088,51
207,58
2133,24
2279,9
3111,35
1243,26
2820,72
3158,26
1143,40
848,2
2442,24
873,30
160,4
713,18
1634,66
1762,15
1962,0
2432,30
3210,54
2823,66
556,21
866,39
28,11
980,35
1595,24
674,72
1684,24
2104,59
1338,35
1070,33
2917,52
1078,33
857,22
325,35
2451,8
515,15
2893,11
2880,0
3026,35
2404,40
1882,0
504,58
379,16
1500,53
256,10
511,66
241,23
2109,24
752,42
3267,32
2527,51
385,16
2257,0
3270,31
2332,35
2813,11
2831,11
2393,59
623,36
517,66
968,54
1391,35
1290,24
1329,35
3219,35
1208,54
3071,35
145,4
1947,0
1476,37
2617,51
106,44
2232,15
2430,8
345,26
74,53
1802,14
738,12
82,53
1664,35
3110,26
1025,52
285,59
1427,63
2322,0
1546,11
643,35
1874,35
21,54
2258,24
2735,35
208,40
903,56
3307,31
2868,11
1793,15
11,64
347,40
935,54
122,78
1172,35
1180,35
1382,35
2008,25
2242,0
1538,35
563,35
3153,26
2788,11
2860,35
3124,26
2593,35
2495,8
2243,35
2796,59
2189,35
3218,35
14,39
768,18
1568,11
518,66
460,62
1919,35
1671,35
882,35
2772,35
404,24
1932,0
2844,11
1575,18
412,40
1461,35
2726,35
2780,35
2178,54
1698,14
372,78
10,2
30,65
1558,57
948,57
2736,8
3142,63
132,78
1163,35
1148,40
1591,35
1777,35
2764,11
2051,7
3100,26
1285,23
953,35
2219,51
2569,51
867,56
2646,35
961,35
2226,35
1576,66
2333,39
2101,59
3129,75
840,22
1428,52
3305,55
58,63
1700,35
1757,14
2321,59
1083,35
2474,30
1091,35
923,24
2223,52
2264,59
3183,35
3191,35
2146,35
1570,79
260,2
2553,35
2154,35
2073,63
1238,16
2350,24
140,4
1544,18
1981,35
1006,35
2622,51
384,35
2081,56
513,26
2696,0
2695,56
990,72
2353,54
2450,30
146,1
2235,54
2292,13
1128,35
2440,24
2810,21
2800,35
1960,0
2910,40
3174,35
554,21
576,42
1788,14
371,13
742,12
1221,33
672,72
2537,51
654,72
693,51
2841,11
1604,51
1076,33
2351,0
1816,35
2001,25
1412,35
202,26
592,57
1880,0
2114,59
391,35
2674,35
1005,35
1726,14
1323,66
2140,64
731,72
399,16
917,24
1127,35
261,31
3293,61
1314,73
1332,35
3239,33
912,35
397,26
1690,35
483,16
1226,54
2745,35
1409,33
3224,0
2585,23
2753,35
1769,14
2255,24
64,46
462,36
1648,35
909,16
363,26
1466,37
1945,0
420,35
1474,37
1702,14
3057,51
786,35
2565,42
