id,ability
0,-0.0030376131
1,0.09501797
2,0.1852884
3,0.008130081
4,0.06124661
5,0.097696476
6,0.05311653
7,0.053503677
8,0.06142728
9,0.039618015
10,0.096476965
11,0.04769648
12,0.047425475
13,0.07162214
14,0.019512193
15,0.049593493
16,0.042005423
17,0.031591173
18,0.047142986
19,0.035075493
20,-0.008130081
21,-0.011420828
22,0.122232206
23,0.013550136
24,0.021034023
25,-0.0027100265
26,0.07657856
27,0.089023374
28,0.04043786
29,0.1795872
30,0.36843503
31,0.1205176
32,0.23690678
33,0.16221295
34,0.14059515
35,0.15980847
36,0.11681063
37,0.25823978
38,0.21607229
39,0.055555556
40,0.31170264
41,0.08168808
42,0.17739433
43,0.016260162
44,0.0
45,0.022357723
46,0.024248295
47,0.07698485
48,-0.008130081
49,0.06423143
50,-0.016260162
51,0.10229772
52,0.14318623
53,0.05931088
54,0.0044263774
55,0.008130081
56,0.082113825
57,0.17005166
58,-0.034557365
59,0.06054126
60,0.25584012
61,0.20613486
62,-0.040495552
63,0.05110773
64,0.18080927
65,0.07658272
66,0.07003485
67,0.09388308
68,0.051803213
69,0.0889147
70,0.10760567
71,0.020596208
72,0.12998222
73,0.116116144
74,0.124110445
75,0.052954517
76,0.06550822
77,0.089912504
78,0.08807747
79,0.12414145
80,0.016260162
81,0.06208364
82,0.10973054
83,0.08925977
84,0.04620688
85,0.10303851
86,0.17694864
87,0.07235772
88,0.07548974
89,0.054471545
90,0.12624107
91,0.014905149
92,0.13624279
93,0.14334708
94,0.08149438
95,0.11866692
96,0.13947804
97,0.052345462
98,-0.038693268
99,0.06140772
100,0.125988
101,0.124699965
102,0.06213827
103,0.08218382
104,0.044616904
105,0.030646589
106,0.17503965
107,0.06421758
108,0.06145309
109,0.16044669
110,0.04227642
111,0.03756262
112,0.009115544
113,0.024143878
114,0.024390243
115,-0.008130081
116,0.028455285
117,0.016260162
118,0.0016260163
119,0.0016260167
120,0.0040650405
121,-0.016260162
122,0.041811846
123,0.016260162
124,0.0027100267
125,-0.0121951215
126,0.0
127,-0.008130081
128,0.013008131
129,-0.008130081
130,0.008130081
131,0.0
132,0.028455285
133,-0.00406504
134,0.0632826
135,0.40749803
136,0.48846298
137,0.51310474
138,0.4196028
139,0.41246843
140,0.34891534
141,0.032520324
142,0.348282
143,0.46078977
144,0.41469303
145,0.4084908
146,0.46755195
147,0.43515798
148,0.4794306
149,0.44450203
150,0.41400656
151,0.43363574
152,0.4078965
153,0.4550656
154,0.38482726
155,0.40890187
156,0.3904558
157,0.5162437
158,0.060433604
159,0.436
160,0.43842235
161,0.38446257
162,0.36475748
163,0.34693164
164,0.101479225
165,0.50375026
166,0.41780213
167,0.4380274
168,0.45857233
169,0.3406538
170,0.046612468
171,0.3442743
172,0.07886179
173,0.039837398
174,0.016531166
175,0.052922957
176,0.1345871
177,0.10689004
178,0.08776616
179,0.13333333
180,0.19717546
181,0.008130081
182,0.10281996
183,0.28424713
184,0.25564462
185,0.18453757
186,-0.00080059265
187,0.028466038
188,0.004567469
189,0.0014078664
190,0.0074400757
191,-0.021103881
192,-0.0045723026
193,0.0051684505
194,0.0050064954
195,0.041229367
196,-0.01712164
197,-0.029666547
198,0.050863404
199,-0.0052354336
200,0.04534456
201,0.05217434
202,0.0048763114
203,0.009453398
204,0.013796277
205,-0.030198427
206,-0.028300425
207,0.057480533
208,-0.010643955
209,0.04834407
210,0.010350068
211,0.034045774
212,0.011614402
213,0.029254513
214,-0.031355128
215,0.006271777
216,-0.025164075
217,0.007560054
218,-0.010479916
219,-0.03624296
220,-0.028798763
221,0.019208435
222,-0.011104163
223,0.05171737
224,0.015713682
225,0.0050681024
226,0.029500581
227,0.16793464
228,0.14484197
229,0.02263915
230,0.0
231,0.074409604
232,0.0699187
233,0.14537066
234,0.09740315
235,0.108395495
236,0.3267937
237,0.034552846
238,0.033589672
239,0.082366325
240,0.0121951215
241,0.13520533
242,0.069665566
243,0.312354
244,0.41269636
245,0.39250547
246,0.36561063
247,0.21816799
248,0.29998332
249,0.27921665
250,0.27467072
251,0.004878049
252,0.28526455
253,0.35309997
254,0.26106924
255,0.10840109
256,0.27310887
257,0.3368825
258,0.3634868
259,0.3149537
260,0.06954522
261,0.3810513
262,0.31938672
263,0.1744039
264,0.2932802
265,0.39380372
266,0.41355464
267,0.3482185
268,0.21969432
269,0.27867118
270,0.0040658475
271,0.023322659
272,0.02769925
273,0.013390723
274,0.006039489
275,0.06388887
276,0.030327385
277,0.07940911
278,0.0033476807
279,0.05183685
280,0.021111304
281,0.047200922
282,0.04267708
283,0.12517254
284,0.08903538
285,-0.024390243
286,0.4482517
287,0.055226482
288,0.102078855
289,0.08749516
290,0.35396653
291,0.14232576
292,0.33935547
293,0.0
294,0.103658535
295,0.1048103
296,0.023577236
297,0.016260162
298,0.03897657
299,0.043421924
300,0.052922953
301,0.09485095
302,0.08590493
303,0.025293587
304,-0.0200542
305,0.031126598
306,-2.422953e-10
307,-0.019512195
308,-0.019804044
309,0.021228546
310,0.03071364
311,-0.0062539093
312,0.015447156
313,-0.010298103
314,0.0016260165
315,0.011517615
316,0.007390983
317,0.042392567
318,-0.03739837
319,-0.018477457
320,0.018970191
321,0.022260938
322,0.0016260167
323,0.016260162
324,-0.008130081
325,0.0011497086
326,-0.014324429
327,-0.016260162
328,0.051646862
329,0.056368563
330,-0.0005018042
331,0.087241754
332,0.06446373
333,0.13085559
334,0.038996875
335,0.17262621
336,0.21251741
337,0.053116534
338,-0.016260162
339,0.0011614403
340,0.036314365
341,0.09512195
342,0.11856369
343,0.032455802
344,0.04487581
345,-0.01174887
346,0.01682304
347,-0.019718144
348,0.011163924
349,-0.0088373525
350,0.01995334
351,0.06716027
352,0.032860156
353,0.010749774
354,0.01266394
355,0.050819088
356,-0.013513181
357,0.008315001
358,0.037559688
359,0.007948762
360,0.03934663
361,0.005807201
362,0.033723127
363,0.024036532
364,0.009936766
365,-0.010828345
366,0.017061198
367,0.070166044
368,-0.040563878
369,0.030105937
370,-0.009485095
371,0.045257453
372,0.0018970186
373,-0.008130081
374,0.086117275
375,0.07317073
376,0.0
377,0.032149144
378,0.01105691
379,0.006651885
380,0.00767841
381,0.0054200543
382,0.0053695566
383,-0.002710027
384,0.005173688
385,0.0118466895
386,0.04222099
387,0.04163301
388,0.0071473247
389,0.0010208657
390,0.03624088
391,0.01242344
392,0.022751322
393,0.048698593
394,0.044260554
395,0.053225037
396,0.05520982
397,0.023701323
398,0.022560976
399,0.022774082
400,0.039566398
401,0.038134128
402,0.019744484
403,0.002439024
404,0.045876887
405,0.03685637
406,0.019488284
407,0.035230353
408,0.029539295
409,-0.024390243
410,-0.021827409
411,-0.018404756
412,-0.01953453
413,0.0036796157
414,-0.03805496
415,-0.032061704
416,-0.03406891
417,-0.025729707
418,-0.050316166
419,-0.015195482
420,-0.002316924
421,-0.008130081
422,-0.008130081
423,0.005420055
424,0.032752614
425,0.34192395
426,0.33391625
427,0.0722696
428,0.41946813
429,0.009045743
430,0.15779988
431,0.14134778
432,0.062330622
433,0.029810296
434,0.013008131
435,-0.0037940377
436,0.120227836
437,-0.0016260163
438,0.16690832
439,0.50500065
440,0.08421732
441,0.14919114
442,0.1295038
443,0.11139825
444,0.047665503
445,0.23435062
446,0.16176076
447,0.3238458
448,0.24144152
449,0.20878921
450,0.0021228543
451,0.08367093
452,0.2620512
453,0.37043035
454,0.038327526
455,0.16647573
456,0.34341246
