skill,cluster
12,1
110,5
49,42
48,62
88,48
118,16
67,30
117,67
37,20
100,54
101,1
4,0
28,35
16,65
91,7
14,1
34,36
50,12
102,1
99,41
116,28
89,1
115,1
0,52
78,1
55,1
54,11
17,8
29,40
30,55
112,34
87,53
86,39
111,37
31,1
103,27
69,76
94,73
121,69
65,49
73,9
71,57
22,10
113,46
26,50
114,45
7,1
40,1
43,1
119,4
81,6
105,1
74,47
64,70
90,8
52,38
42,1
92,27
6,46
9,59
104,1
66,43
95,17
56,56
96,29
41,26
13,78
70,1
57,1
68,63
83,1
109,1
93,19
19,68
20,1
62,23
80,61
46,1
27,75
51,3
24,44
3,71
82,1
15,21
106,59
97,64
59,22
58,79
77,77
23,74
35,1
76,25
8,59
44,27
33,26
108,58
21,60
38,33
53,2
107,66
39,36
11,1
60,1
120,24
63,1
5,48
122,1
2,31
61,32
10,1
47,51
36,1
85,13
32,60
72,1
18,14
98,1
1,8
25,59
75,1
45,72
84,18
79,15
