ques,disc
0,-0.2142857142857143
1,-0.0625
2,0.0714285714285714
3,0.08620689655172409
4,0.2142857142857143
5,0.2222222222222222
6,0.3695652173913043
7,0.42592592592592593
8,0.43333333333333335
9,0.0
10,0.0
11,0.0
12,0.5
13,0.38888888888888884
14,0.0
15,0.0625
16,0.125
17,0.0
18,-0.07428571428571429
19,0.0
20,0.02564102564102566
21,-0.04761904761904767
22,0.0
23,0.0
24,0.26
25,0.0
26,0.0
27,0.0
28,0.22549019607843135
29,0.25
30,0.25609756097560976
31,0.36274509803921573
32,0.6
33,0.29104477611940294
34,0.30000000000000004
35,0.2142857142857143
36,0.40909090909090906
37,0.16666666666666663
38,-0.017241379310344807
39,0.3125
40,0.17741935483870963
41,0.2272727272727273
42,0.5
43,0.38235294117647056
44,0.3421052631578947
45,0.25
46,0.4791666666666667
47,0.45238095238095233
48,0.30000000000000004
49,0.25
50,0.19117647058823528
51,0.05555555555555558
52,0.08333333333333337
53,0.05555555555555558
54,0.1842105263157895
55,-0.033333333333333326
56,0.09090909090909094
57,0.49404761904761907
58,0.12962962962962965
59,0.25
60,0.20833333333333337
61,0.12254901960784315
62,0.24193548387096775
63,0.20370370370370372
64,0.2857142857142857
65,0.4130434782608695
66,0.2742574257425742
67,0.09999999999999998
68,0.380952380952381
69,0.35
70,0.4523809523809524
71,0.44999999999999996
72,0.467741935483871
73,0.7254901960784313
74,0.25
75,0.20588235294117652
76,0.6153846153846154
77,0.45999999999999996
78,0.2692307692307693
79,0.5
80,0.19999999999999996
81,0.30000000000000004
82,0.39473684210526316
83,0.28125
84,0.2666666666666667
85,0.3666666666666667
86,0.09375
87,0.40476190476190477
88,0.37755102040816324
89,0.28787878787878785
90,0.44372294372294374
91,0.2777777777777778
92,0.32608695652173914
93,0.23076923076923073
94,0.017241379310344862
95,0.4594861660079051
96,0.30117820324005884
97,0.39245283018867927
98,-0.38095238095238093
99,0.28888888888888886
100,0.045454545454545414
101,0.07826086956521738
102,0.5
103,0.0
104,0.1428571428571429
105,-0.19354838709677424
106,0.22142857142857142
107,0.18095238095238098
108,0.22142857142857142
109,-0.16129032258064513
110,0.19480519480519476
111,0.42307692307692313
112,0.45999999999999996
113,0.0
114,0.1333333333333333
115,0.0
116,0.3125
117,-0.03125
118,0.3076923076923077
119,0.05882352941176472
120,0.34615384615384615
121,0.21875
122,0.380952380952381
123,0.31818181818181823
124,-0.20588235294117646
125,0.5625
126,0.19565217391304346
127,0.33333333333333337
128,0.4473684210526315
129,-0.1692307692307693
130,0.5
131,0.2534246575342466
132,0.489795918367347
133,0.29729729729729726
134,0.2692307692307693
135,-0.3333333333333333
136,-0.16666666666666669
137,0.30000000000000004
138,-0.18478260869565222
139,0.4975609756097561
140,0.16666666666666663
141,0.5
142,0.25
143,0.0
144,0.5209302325581395
145,0.4643564356435643
146,0.0
147,0.36086956521739133
148,0.45238095238095233
149,0.5
150,-0.09999999999999998
