stu,cluster
3188,26
1191,0
2621,29
129,26
1324,26
2054,28
2682,29
3028,1
1682,26
1017,26
2408,20
818,29
1867,26
857,14
1046,6
1564,26
3290,18
133,30
354,16
761,29
318,26
1663,11
1478,8
1540,19
2355,19
1999,21
1503,16
851,12
1648,26
3109,26
1074,12
1383,26
2078,14
2136,17
2831,3
249,24
1741,26
2015,26
2125,17
3211,26
2989,29
1623,26
2757,1
672,29
907,12
1314,27
450,26
1003,16
1956,1
1599,29
3143,6
2550,26
833,14
2479,10
601,26
158,17
151,18
2578,0
2727,26
2874,1
534,26
1876,1
2146,30
2257,1
1166,26
1595,30
1321,19
509,26
1546,3
1820,19
460,15
2868,3
2300,16
3239,12
485,17
621,15
1154,30
1463,8
475,7
648,29
2573,29
922,17
47,5
947,11
950,20
2306,16
1947,1
59,14
901,11
1308,16
479,19
1772,26
2455,10
2392,26
1209,26
713,29
2036,28
2788,3
1345,29
432,11
2122,30
2485,26
864,14
1398,26
4,17
867,11
3199,26
65,5
2030,26
754,30
2266,26
2563,0
3116,26
3301,18
2859,3
2526,29
2809,26
281,1
355,6
84,5
945,26
1612,29
2317,30
2502,26
553,26
383,11
1984,1
2110,26
1185,26
1459,26
3171,30
3282,7
1988,21
2098,30
3297,31
512,22
1374,26
608,26
2362,20
2915,22
633,6
3051,29
1904,1
1575,19
2341,0
975,26
2153,26
2516,26
10,5
1333,26
3096,29
748,27
2159,20
1926,1
2072,16
2896,3
331,22
689,22
2850,3
2742,29
529,26
124,26
714,22
1435,26
2718,26
2976,26
1114,26
1167,20
1078,12
1793,26
2584,26
236,24
1657,26
976,26
2348,30
1350,26
2598,16
216,20
1982,26
183,31
1216,26
3291,18
1590,26
2551,29
1848,26
319,26
2635,29
751,7
951,26
3156,6
1566,19
2009,9
559,26
2047,28
2761,26
2964,22
2643,26
275,17
1238,19
2903,3
779,26
1189,0
1411,26
2694,26
2273,30
2841,3
2384,7
1090,26
1643,16
957,17
1275,26
1364,26
2952,26
2560,26
448,15
1722,26
362,6
3190,26
3005,11
2277,26
560,26
958,16
2527,29
161,18
535,26
1528,1
2737,26
631,6
2922,22
3011,26
2708,26
2619,26
767,29
1781,26
3251,26
1954,1
2351,1
2706,16
619,26
2160,26
1066,26
1340,26
94,7
773,29
2792,26
1698,26
2206,1
745,27
377,17
32,15
3017,1
1192,1
2440,30
1220,12
2885,26
3314,18
2465,10
1800,26
2767,26
399,17
3125,26
2814,3
1393,20
804,16
2987,26
1125,26
1399,26
2666,26
2595,26
1757,26
3113,6
1633,20
3138,6
2474,10
920,17
3089,29
3066,29
2225,30
2388,1
1316,26
1227,26
2928,22
1945,1
2768,26
1674,26
1948,26
810,29
1859,26
995,27
107,30
2503,26
2382,7
1470,8
2111,26
1199,1
942,26
2032,26
2394,10
2540,29
1504,8
3101,26
1640,26
2077,7
2284,26
1101,26
822,16
1375,26
2642,26
2805,3
1733,26
2496,10
3185,26
3203,26
2450,10
514,7
3042,29
664,29
1770,17
1906,26
567,14
1835,26
2379,1
2542,26
2715,30
3207,30
3268,24
1788,26
3144,6
61,15
261,2
729,29
2416,10
2087,26
865,16
2719,26
372,0
526,26
3077,26
1587,30
1202,0
1918,1
264,24
1351,26
452,15
1709,26
2179,20
366,6
2329,26
3231,12
1588,7
2993,3
3250,26
2083,7
231,22
1924,1
144,18
3317,18
443,14
961,26
1132,26
1517,5
2691,30
397,6
1764,26
2752,16
520,7
126,26
128,26
662,22
2004,21
1016,26
2410,15
856,14
1390,26
2931,22
3191,26
474,7
934,12
2275,17
2957,22
1591,19
428,15
1388,20
1317,16
14,30
2675,29
1909,1
2836,3
628,30
1270,16
2169,26
2518,29
15,5
2234,19
644,0
1604,29
1529,11
705,22
545,26
854,12
1740,26
1177,26
681,29
3142,6
832,14
1474,8
1746,19
2515,11
579,14
2994,20
986,20
1582,19
2145,26
1286,1
3084,26
3269,18
2827,3
740,27
2777,26
3259,4
2121,17
1123,17
348,6
1234,20
299,17
524,1
2336,26
657,29
2968,26
2041,26
1070,12
574,17
3006,11
2204,1
157,4
2229,7
3265,31
147,18
1342,26
2293,26
1974,26
1246,11
1872,1
2074,17
2513,26
2060,28
212,16
1301,26
2842,26
2039,28
1287,27
2753,26
2938,22
3027,26
941,16
210,26
1990,21
484,26
3263,25
753,26
771,26
1385,26
317,17
635,26
1366,20
2265,30
1082,26
1959,1
2017,26
1253,19
3182,26
2279,16
2316,30
2062,21
2637,20
34,14
269,31
552,26
2543,26
2784,3
259,25
1184,26
3056,29
876,6
1580,19
1816,26
3099,6
3124,6
1879,1
2186,26
527,26
2818,26
2729,26
3136,1
2312,1
632,6
2871,3
361,16
253,2
2544,26
1450,26
1361,26
58,16
2152,26
925,17
1243,26
1332,26
86,23
1690,26
737,27
2245,26
528,26
2519,26
3294,31
469,6
2232,1
2877,26
1160,26
2127,26
2457,10
1790,26
1259,11
1792,26
2556,29
31,14
877,26
1656,26
127,26
1200,0
1916,1
1164,30
3050,26
2705,26
2979,26
1117,26
1391,26
611,3
1290,17
44,26
3219,26
194,20
1922,1
1426,26
1305,1
81,27
2760,26
247,25
1666,26
1558,20
1851,26
87,5
1940,26
1987,1
3010,11
1392,26
2034,28
2433,10
1766,26
2735,26
1991,21
1632,26
16,30
414,20
2711,29
2587,19
1524,11
3026,26
2276,26
2094,1
2794,14
1093,26
2955,26
2634,26
69,23
711,29
1725,26
1907,1
3177,26
1626,20
3034,29
13,5
160,18
395,3
1247,12
1145,1
2899,3
445,15
2853,3
1617,5
1780,26
1817,16
225,16
278,26
599,20
1472,8
404,17
416,20
2252,26
861,20
790,16
1343,26
2057,28
2884,26
1701,26
2464,10
691,22
3242,26
106,23
1997,9
1583,26
223,6
2443,30
3257,4
321,26
1481,8
1299,17
1874,26
953,26
1124,26
1803,26
