stu,cluster
1830,19
2502,73
2450,99
438,12
2201,5
43,3
707,40
1096,73
1277,22
1460,39
1381,40
443,32
1112,73
2686,1
2948,4
2526,40
519,19
1313,73
1390,73
1004,73
491,38
1047,82
1802,31
1926,37
2181,73
2329,80
2788,29
1513,79
2867,29
1224,54
1556,98
927,48
1869,37
1138,49
2495,99
1339,1
897,22
276,85
2718,73
1865,73
468,39
2234,49
2509,73
2331,3
2812,19
2151,73
1720,73
3113,64
2067,70
2783,73
2768,73
2568,54
255,78
2930,98
538,73
2295,52
3030,73
1561,98
2764,29
1191,54
2638,73
2843,29
632,19
3046,73
1220,73
2278,39
2904,29
2672,73
2429,73
2673,93
2375,13
436,32
2683,4
1421,73
1315,17
379,22
2637,0
2855,73
1029,73
1030,73
2237,93
577,26
1437,73
1680,73
2060,7
1532,73
873,9
1079,73
1541,46
1558,46
2709,73
1007,82
1159,49
2548,82
849,16
524,35
1095,73
2100,13
2725,73
1341,73
1402,73
668,40
1662,93
1974,73
250,11
2580,73
1162,73
22,30
1697,31
903,78
1774,31
229,5
1722,1
103,97
1757,61
473,38
3301,18
459,87
5,79
1844,73
3145,43
3114,64
1298,85
948,49
768,98
1192,37
2324,48
2913,52
1469,28
1894,73
188,43
598,49
1334,48
1082,73
1687,73
1927,37
2024,7
1053,3
3028,37
3011,39
3182,73
959,85
1260,22
307,73
3039,40
1086,85
1457,97
1018,31
2817,40
712,40
2856,29
1673,31
1396,82
662,97
2255,5
1733,61
2666,73
1573,73
1848,19
1098,43
2818,73
2564,40
1945,37
1252,78
2421,99
2531,40
766,4
1600,40
272,13
496,38
2239,61
2722,73
1956,37
1964,37
1303,3
2273,5
700,52
1270,82
2419,34
1510,22
1426,1
3099,64
915,73
2128,5
294,6
1750,22
2832,29
2262,80
2960,98
2874,37
3281,88
1726,31
2019,19
220,0
1876,37
96,30
3213,73
60,12
1644,73
1884,37
529,19
2927,24
2929,70
1285,17
717,4
936,43
3229,73
425,87
1906,73
2915,4
3084,73
1472,28
2940,4
47,25
999,65
3133,73
269,47
291,30
3194,73
183,20
795,43
134,13
2007,15
2176,93
2695,78
166,71
1417,1
1570,73
2899,28
171,8
3198,85
1702,31
2048,7
2969,78
129,73
2241,93
3253,76
1020,82
811,73
1846,19
3227,5
0,73
1119,19
126,73
494,38
278,73
2097,35
3127,64
1349,85
502,38
85,6
139,88
910,73
107,25
1003,82
823,82
1620,48
536,73
3143,64
850,12
1739,31
2816,19
2323,5
552,73
2804,29
3043,73
76,17
975,73
580,52
1616,44
548,29
348,43
1401,37
1419,73
617,73
230,3
234,78
1027,73
879,73
1435,73
132,33
1952,93
2403,49
2440,5
71,44
21,93
1771,61
1240,78
2723,73
46,79
1194,54
2987,19
483,22
526,19
1794,31
1137,0
2031,35
2192,73
1160,73
1694,49
2704,52
687,4
2371,48
159,10
2159,49
1123,66
2167,49
299,66
282,22
463,85
3112,64
1618,93
2330,48
243,42
246,53
1080,73
2654,1
1872,37
1925,37
1122,9
311,54
2973,85
298,25
101,25
1483,21
972,73
1622,0
296,79
2349,22
2405,73
1555,73
449,12
2835,29
2928,4
3038,73
345,83
2359,93
57,12
2664,73
2367,13
1292,17
781,73
1995,15
3208,37
470,32
1835,19
2215,73
1413,73
1414,73
2537,40
3278,88
569,26
205,83
2720,73
1954,37
2702,73
1962,37
2043,50
706,52
1019,39
1709,19
2307,80
2342,54
2606,73
2767,73
3307,76
1092,43
2260,80
2872,29
33,12
225,82
3029,73
1663,22
1882,37
2994,29
1793,73
601,52
2671,73
2797,29
490,22
1283,17
3140,64
1809,73
3081,73
1269,73
3323,42
866,3
1108,73
1508,25
560,52
1664,73
997,65
1679,73
1826,98
2156,73
3097,73
3131,73
2068,13
3020,85
3192,73
1695,73
1530,93
1077,93
2522,40
1942,73
3207,5
2325,80
1431,1
3212,80
1550,73
1199,37
796,83
1531,54
3050,73
2501,36
1742,31
1305,37
2644,52
466,38
2319,82
1979,37
2395,5
91,98
2966,1
2860,73
2039,7
645,40
1987,37
1551,27
1649,73
1351,1
2322,37
1266,78
2714,73
630,82
1203,54
1464,21
2017,1
2730,73
2111,39
1110,22
2133,22
3202,85
1907,37
1362,73
3141,64
2242,37
2314,93
2028,73
2634,73
3205,73
2558,33
2620,36
3206,73
74,17
553,52
2589,73
2684,73
316,54
1617,25
2700,35
889,93
1026,73
472,38
2143,5
2148,80
3126,73
2032,52
1999,15
520,35
2920,24
2591,40
3328,47
3191,73
163,8
383,22
