skill,cluster
116,26
3,35
105,35
76,38
55,35
97,5
83,35
42,35
100,1
20,35
122,35
90,5
62,31
113,22
31,35
10,35
111,54
0,58
21,59
70,35
41,11
98,35
13,61
2,47
72,5
106,35
101,35
7,35
40,35
35,35
18,25
51,6
109,35
39,27
73,21
112,40
43,35
71,19
52,60
84,4
99,36
8,35
82,35
77,35
11,35
45,5
60,35
29,23
80,0
63,35
104,35
16,29
107,35
102,35
36,35
93,14
87,56
110,29
120,16
75,35
114,7
30,62
1,0
24,53
12,35
28,24
50,13
108,52
103,29
38,32
96,39
86,46
95,17
48,51
53,45
44,12
79,28
61,33
25,35
33,11
17,5
32,59
92,29
91,15
65,48
81,43
118,8
66,34
14,35
34,27
47,55
64,50
94,5
89,35
4,18
26,35
74,44
78,35
57,35
68,29
22,2
56,57
54,9
85,10
6,22
46,35
27,41
49,49
37,30
88,41
23,29
19,35
5,41
121,5
69,12
9,35
58,35
67,20
119,3
59,42
117,63
115,35
15,37
