skill,cluster
59,0
64,0
12,1
85,0
90,0
111,0
116,0
121,0
118,7
25,1
100,1
77,1
30,0
61,0
14,1
92,0
97,0
93,5
27,1
81,7
102,1
6,0
84,7
16,0
89,1
37,0
115,1
68,0
0,1
94,0
26,1
51,6
3,1
78,1
55,1
88,1
44,0
117,1
80,0
5,1
31,1
56,0
29,7
103,0
7,1
40,1
113,0
43,1
1,0
119,4
105,1
53,0
110,0
42,1
19,1
104,1
107,1
79,7
65,0
66,7
96,0
21,1
70,1
57,1
106,1
83,1
109,1
41,0
62,0
120,7
67,0
72,0
20,1
46,1
82,1
54,3
108,1
17,0
38,0
18,7
48,0
69,0
99,7
76,3
32,1
4,7
9,1
58,1
35,1
87,1
15,5
73,6
45,0
74,5
22,2
71,0
95,7
8,1
34,1
11,1
60,1
86,1
91,3
63,1
122,1
50,5
47,0
52,0
10,1
36,1
13,1
114,0
24,7
39,1
49,1
98,1
2,0
75,1
23,0
28,0
101,1
33,0
112,7
