skill,cluster
12,1
38,1
92,3
25,1
95,3
100,1
4,0
53,14
77,1
16,3
14,1
68,3
71,3
27,1
102,1
33,14
85,9
89,1
120,12
110,3
115,1
44,3
0,1
97,3
26,1
118,13
47,3
80,3
3,1
76,6
28,15
78,1
55,1
88,1
117,1
119,2
23,3
56,3
5,1
59,3
31,1
62,3
111,3
22,7
7,1
40,1
91,6
43,1
73,4
74,3
105,1
113,3
42,1
19,1
18,11
94,1
1,3
50,3
99,3
104,1
107,1
21,1
70,1
51,4
93,10
57,1
106,1
29,3
54,6
83,1
109,1
65,3
114,3
37,5
48,3
20,1
46,1
2,3
82,1
103,3
41,14
108,1
90,3
24,3
121,1
32,1
9,1
58,1
30,3
79,3
112,3
35,1
61,1
17,3
66,3
87,1
15,5
69,3
52,3
8,1
34,1
6,3
11,1
60,1
86,1
63,1
96,1
122,1
45,3
81,3
10,1
84,8
64,3
36,1
67,14
13,1
116,3
39,1
72,1
49,1
98,1
75,1
101,1
